3088;ARGILA BRANCA 1KG                                    ;4.35;6.525;0.5;100;1006
3089;ARGILA CINZA 1KG                                     ;4.55;6.825;0.5;100;1006
3090;ARGILA CX 10X1                                      ;39.9;39.9;0;0;1006
3091;ARGILA GEL BRANCA 200G                               ;9.9;9.9;0;0;1006
3092;ARGILA GEL VERDE 200G                                ;9.9;9.9;0;0;1006
3093;ARGILA PRETA 1KG                                     ;4.35;6.525;0.5;100;1006
3094;ARGILA ROSA 1KG                                      ;4.35;6.525;0.5;100;1006
3095;ARGILA VERDE 1KG                                     ;4.35;6.525;0.5;100;1006
3096;ARGILA VERMELHA 1KG                                  ;4.55;4.55;0;0;1006
3097;ARGILA VULCANICA 200G                                ;9.9;9.9;0;0;1006
3098;ARROZ ARBOREO 1KG                                   ;12.35;12.35;0;0;1006
3099;ARROZ ARBOREO SC 25KG                               ;302.6;302.6;0;0;1006
3100;ARROZ BRANCO 1KG                                     ;5.75;5.75;0;0;1006
3101;ARROZ BRANCO SC 25KG                                ;140.9;140.9;0;0;1006
3102;ARROZ INTEGRAL AGULHINHA 1KG                         ;5.75;8.625;0.5;100;1006
3103;ARROZ INTEGRAL AGULHINHA C/ VERMELHO 1KG             ;8.45;8.45;0;0;1006
3104;ARROZ INTEGRAL AGULINHA C/ VERMELHO SC 25KG         ;207.05;207.05;0;0;1006
3105;ARROZ INTEGRAL AGULINHA SC 25KG                     ;140.9;140.9;0;0;1006
3106;ARROZ INTEGRAL GRAO CURTO (CATETO) 1KG               ;8.2;8.2;0;0;1006
3107;ARROZ INTEGRAL GRAO CURTO (CATETO) SC 25KG          ;200.9;200.9;0;0;1006
3108;ARROZ INTEGRAL GRAO CURTO CATETO C/ VERMELHO 1KG     ;9.4;9.4;0;0;1006
3109;ARROZ INTEGRAL GRAO CURTO CATETO VERMELHO SC 25KG   ;230.3;230.3;0;0;1006
3110;ARROZ INTEGRAL VERMELHO (NINO) 1KG                  ;15.6;15.6;0;0;1006
3111;ARROZ INTEGRAL VERMELHO (NINO) SC 25KG              ;382.2;382.2;0;0;1006
3112;ARROZ OISHI MAI 1KG                                  ;8.1;8.1;0;0;1006
3113;ARROZ OISHI MAI SC 25KG                             ;198.45;198.45;0;0;1006
3114;ARROZ PRETO 1KG                                     ;31.2;31.2;0;0;1006
3115;ARROZ PRETO SC 25 KG                                ;764.4;764.4;0;0;1006
3116;ARROZ QUEBRADO (CANJICAO) 1KG                        ;4.7;7.05;0.5;100;1006
3117;ARROZ QUEBRADO (CANJICAO) SC 25KG                   ;115.15;115.15;0;0;1006
3118;ARROZ SETE GRAOS 1KG                                ;12.35;18.525;0.5;100;1006
3119;ARROZ SETE GRAOS SC 25KG                            ;302.6;302.6;0;0;1006
3120;ASPARGOS 205G. TIO PACO                             ;13.36;13.36;0;0;1006
3121;ASPARGOS 500G LT. TIO PACO                          ;24.16;24.16;0;0;1006
3122;ASPARGOS INTEIROS 500G LT SERRALUNGA                ;25.9;25.9;0;0;1006
3123;AVEIA FLOCOS FINO 1KG                              ;6.35;9.525;0.5;100;1006
3124;AVEIA FLOCOS FINO SC 25 KG                        ;155.6;155.6;0;0;1006
3125;AVEIA FLOCOS MEDIA 1KG                             ;6.7;6.7;0;0;1006
3126;AVEIA FLOCOS MEDIO SC 25KG                        ;164.15;164.15;0;0;1006
3127;AVEIA GROSSA 1KG                                   ;6.45;9.675;0.5;100;1006
3128;AVEIA GROSSA SC 25KG                              ;155.6;155.6;0;0;1006
3129;AVELA COM CASCA 1KG                               ;24;36;0.5;100;1006
3130;AVELA SEM CASCA 1KG                               ;63.6;63.6;0;0;1006
3131;AVELA SEM CASCA CX 10KG                           ;623.3;623.3;0;0;1006
3132;AZEITONA PRETA 100G VD. TIO PACO                   ;3.9;3.9;0;0;1006
3133;AZEITONA PRETA 200G. TIO PACO                      ;7.65;7.65;0;0;1006
3134;AZEITONA PRETA AZAP GRAUDA BD 2KG LA VIOLETERA    ;77.9;77.9;0;0;1006
3135;AZEITONA PRETA AZAP VD 170G BOM JESUS              ;6.75;6.75;0;0;1006
3136;AZEITONA PRETA CALIFORNIANA 170G VD. BOM JESUS     ;8.85;8.85;0;0;1006
3137;AZEITONA PRETA FATIADA BALDE 1.8KG BOM JESUS      ;35.1;35.1;0;0;1006
3138;AZEITONA PRETA MEDIA 2KG BD LA VIOLETERA          ;51.9;51.9;0;0;1006
3139;AZEITONA PRETA MEDIA BALDE 1.8KG BOM JESUS        ;31;31;0;0;1006
3140;AZEITONA PRETA MEDIA BD 2KG BOM JESUS             ;36.4;36.4;0;0;1006
3141;AZEITONA PRETA SEM CAROCO BALDE 2KG BOM JESUS     ;41.6;41.6;0;0;1006
3142;AZEITONA VERDE 170G VD. BOM JESUS                 ;8.85;8.85;0;0;1006
3143;AZEITONA VERDE FATIADA BALDE 1.8KG BOM JESUS      ;40.7;40.7;0;0;1006
3144;AZEITONA VERDE FATIADA BALDE 2KG BOM JESUS        ;40.7;40.7;0;0;1006
3145;AZEITONA VERDE MEDIA BALDE 2KG                    ;42.1;42.1;0;0;1006
3146;AZEITONA VERDE RECHEADA 120G BOM JESUS            ;4.5;4.5;0;0;1006
3147;AZEITONA VERDE RECHEADA 170G VD. BOM JESUS        ;8.45;8.45;0;0;1006
3148;AZEITONA VERDE RECHEADA 200G VD. TIO PACO         ;6.73;6.73;0;0;1006
3149;AZEITONA VERDE RECHEADA 2KG BD. BOM JESUS         ;42.85;42.85;0;0;1006
3150;AZEITONA VERDE RECHEADA BALDE 1.8KG BOM JESUS     ;42.85;42.85;0;0;1006
3151;AZEITONA VERDE S/CAROCO BALDE 1.8KG BOM JESUS     ;41.6;41.6;0;0;1006
3152;AZEITONA VERDE SEM CARO‚O 150G D.PACK BOM JESUS    ;4.25;4.25;0;0;1006
3153;AZEITONA VERDE SEM CAROCO 150G VD. BOM JESUS       ;6.75;6.75;0;0;1006
3154;AZEITONA VERDE SEM CAROCO 160GVD. TIO PACO         ;6.5;6.5;0;0;1006
3155;AZEITONA VERDE SEM CAROCO 170G VD. BOM JESUS       ;8.8;8.8;0;0;1006
3156;AZEITONA VERDE SEM CARO‚O 2KG BD. BOM JESUS       ;41.6;41.6;0;0;1006
3157;BALA CARAMELO 1KG                                 ;19;19;0;0;1006
3158;BALA DE AMENDOIM 1KG                              ;23.15;23.15;0;0;1006
3159;BALA DE BANANA COM ACUCAR 1KG                     ;20.55;20.55;0;0;1006
3160;BALA DE BANANA DIET 1KG                           ;21.85;32.775;0.5;100;1006
3161;BALA DE CANELA 1KG                                ;20.15;30.225;0.5;100;1006
3162;BALA DE COCO 1KG                                  ;23.15;34.725;0.5;100;1006
3163;BALA GOMA FESTA 1KG                                ;9;9;0;0;1006
3164;BALA GOMA FESTA 5KG                               ;44.9;44.9;0;0;1006
3165;BALA JUJUBA FESTA 1KG                             ;11.8;11.8;0;0;1006
3166;BALA JUJUBA FESTA 5KG                             ;59;59;0;0;1006
3167;BATATA PALHA PC. ESTRELINHA 1KG                   ;17.55;17.55;0;0;1006
3168;BATATA PALHA PC. ESTRELINHA 500G                   ;8.85;8.85;0;0;1006
3169;BATATINHA 300G VD. CONTE                           ;7.4;7.4;0;0;1006
3170;BETERRABA 300 VD. CONTE                            ;7.4;7.4;0;0;1006
