1016;CAPSULADO CARTILAN COLAGENO 30 cps 400mg;1;55;2021-10-04;55;9;4
1017;BANDEIJA 30 OVOS BRANCO;3;43.5;2021-10-04;14.5;9;4
1018;CAPSULADO COENZIMA 60cps 200mg;1;69;2021-10-04;69;9;4
1019;XAROPE DA VOV” ISABEL 320ml;1;10;2021-10-04;10;9;4
1020;Semente de abÛbora 100g;1;7.8;2021-10-04;7.8;9;4
1021;Semente de girassol 100g;1;3.5;2021-10-04;3.5;9;4
1022;PACOTE BISCOITO DE POLVILHO 140g;1;6.5;2021-10-04;6.5;9;4
1023;CRAMBERRIE 100g;4;128;2021-10-04;32;9;4
1024;CAPSULADO DE A‚AFRÌO 120cps 400mg;1;15;2021-10-04;15;9;4
